CWD_Barcod,Kill_Date,Township,Range,Range_Dir,Section,Quarter_Se,Deer_Sex,DTRSQ,X,Y
-10001,11/23/2001,7,6,4,19,0,M,407061900,-89.82862493,43.0674808
-10002,11/23/2001,7,6,4,21,0,M,407062100,-89.78957753,43.06785545
-10003,11/23/2001,7,6,4,21,0,M,407062100,-89.78957753,43.06785545
100983,11/15/2004,7,6,4,17,4,M,407061740,-89.8042494,43.07866659
10108,9/24/2002,7,5,4,22,2,M,407052220,-89.89222328,43.07120039
101107,8/5/2008,1,13,4,25,1,M,401132510,-88.89932135,42.51966367
10141,9/21/2002,7,5,4,21,2,F,407052120,-89.9119319,43.07114933
101477,8/20/2006,10,7,4,11,3,F,410071130,-89.63531367,43.35476223
101628,11/2/2004,7,7,4,2,4,M,407070240,-89.62545226,43.10778631
101632,11/6/2004,8,5,4,35,1,M,408053510,-89.86273029,43.12925382
101642,11/4/2004,7,5,4,22,1,F,407052210,-89.88241801,43.07113219
101678,10/30/2004,7,6,4,3,1,F,407060310,-89.76442131,43.11511171
101687,10/29/2004,7,6,4,11,4,M,407061140,-89.74488546,43.09345251
101705,10/29/2004,8,5,4,36,4,M,408053640,-89.84298736,43.1219521
101748,10/31/2004,7,6,4,21,3,F,407062130,-89.79449,43.06420209
101768,11/21/2004,7,4,4,11,3,M,407041130,-89.99050723,43.09302631
101775,11/21/2004,7,4,4,14,4,M,407041440,-89.98061742,43.07850411
101844,10/30/2004,7,3,4,10,4,M,407031040,-90.11814728,43.09426638
101876,10/28/2004,8,5,4,32,1,M,408053210,-89.92221376,43.12890443
102399,11/26/2004,2,18,4,7,2,M,402180720,-88.41832333,42.65107932
102633,10/15/2006,10,7,4,15,1,F,410071510,-89.64517901,43.34745191
103167,10/29/2005,2,14,4,27,4,M,402142740,-88.82021055,42.59930421
103261,11/14/2004,7,7,4,9,2,F,407070920,-89.67515142,43.10090536
103286,11/13/2004,7,6,4,20,4,M,407062040,-89.80430028,43.06413193
103333,11/7/2004,7,5,4,12,2,M,407051220,-89.85279154,43.10005884
103541,10/21/2005,5,11,4,10,2,F,405111020,-89.18572946,42.91510801
103542,9/15/2005,8,9,4,23,1,M,408092310,-89.387333,43.15922477
103646,10/27/2005,3,5,4,2,1,F,403050210,-89.86319187,42.76650576
10431,10/26/2002,7,4,4,1,2,M,407040120,-89.97104457,43.11443529
104625,11/19/2005,6,3,4,1,4,M,406030140,-90.07801811,43.02179983
104966,11/1/2004,4,5,4,3,3,M,404050330,-89.89201212,42.84586958
10527,11/2/2002,8,6,4,34,2,M,408063420,-89.77420186,43.12965882
105356,10/28/2005,7,5,4,6,3,M,407050630,-89.95140601,43.10696031
10549,11/2/2002,7,6,4,9,4,M,407060940,-89.78440505,43.09324943
105569,3/4/2005,7,5,4,5,4,F,407050540,-89.9219156,43.10706289
10557,11/2/2002,7,6,4,18,2,M,407061820,-89.83358453,43.0857227
