GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
0400000US27,27,Minnesota,0400000US27,27,Minnesota,Minnesota,4919479,2065946,86938.87,7328.79,79610.08,61.8,26.0
0400000US27,27,Minnesota,0500000US27001,27001,Minnesota - Aitkin County,Aitkin County,15301,14168,1995.31,176.01,1819.30,8.4,7.8
0400000US27,27,Minnesota,0500000US27003,27003,Minnesota - Anoka County,Anoka County,298084,108091,446.26,22.65,423.61,703.7,255.2
0400000US27,27,Minnesota,0500000US27005,27005,Minnesota - Becker County,Becker County,30000,16612,1445.11,134.69,1310.42,22.9,12.7
0400000US27,27,Minnesota,0500000US27007,27007,Minnesota - Beltrami County,Beltrami County,39650,16989,3055.59,550.32,2505.27,15.8,6.8
0400000US27,27,Minnesota,0500000US27009,27009,Minnesota - Benton County,Benton County,34226,13460,413.00,4.72,408.28,83.8,33.0
0400000US27,27,Minnesota,0500000US27011,27011,Minnesota - Big Stone County,Big Stone County,5820,3171,527.88,30.93,496.95,11.7,6.4
0400000US27,27,Minnesota,0500000US27013,27013,Minnesota - Blue Earth County,Blue Earth County,55941,21971,765.90,13.54,752.36,74.4,29.2
0400000US27,27,Minnesota,0500000US27015,27015,Minnesota - Brown County,Brown County,26911,11163,618.60,7.74,610.86,44.1,18.3
0400000US27,27,Minnesota,0500000US27017,27017,Minnesota - Carlton County,Carlton County,31671,13721,875.23,14.90,860.33,36.8,15.9
0400000US27,27,Minnesota,0500000US27019,27019,Minnesota - Carver County,Carver County,70205,24883,376.15,19.11,357.04,196.6,69.7
0400000US27,27,Minnesota,0500000US27021,27021,Minnesota - Cass County,Cass County,27150,21286,2414.21,396.61,2017.60,13.5,10.6
0400000US27,27,Minnesota,0500000US27023,27023,Minnesota - Chippewa County,Chippewa County,13088,5855,587.83,5.02,582.80,22.5,10.0
0400000US27,27,Minnesota,0500000US27025,27025,Minnesota - Chisago County,Chisago County,41101,15533,442.49,24.86,417.63,98.4,37.2
0400000US27,27,Minnesota,0500000US27027,27027,Minnesota - Clay County,Clay County,51229,19746,1052.74,7.49,1045.24,49.0,18.9
0400000US27,27,Minnesota,0500000US27029,27029,Minnesota - Clearwater County,Clearwater County,8423,4114,1029.79,35.08,994.71,8.5,4.1
0400000US27,27,Minnesota,0500000US27031,27031,Minnesota - Cook County,Cook County,5168,4708,3339.72,1889.11,1450.60,3.6,3.2
0400000US27,27,Minnesota,0500000US27033,27033,Minnesota - Cottonwood County,Cottonwood County,12167,5376,648.91,8.91,639.99,19.0,8.4
0400000US27,27,Minnesota,0500000US27035,27035,Minnesota - Crow Wing County,Crow Wing County,55099,33483,1156.56,160.00,996.57,55.3,33.6
0400000US27,27,Minnesota,0500000US27037,27037,Minnesota - Dakota County,Dakota County,355904,133750,586.33,16.75,569.58,624.9,234.8
0400000US27,27,Minnesota,0500000US27039,27039,Minnesota - Dodge County,Dodge County,17731,6642,439.63,0.12,439.50,40.3,15.1
0400000US27,27,Minnesota,0500000US27041,27041,Minnesota - Douglas County,Douglas County,32821,16694,719.94,85.62,634.32,51.7,26.3
0400000US27,27,Minnesota,0500000US27043,27043,Minnesota - Faribault County,Faribault County,16181,7247,721.61,7.98,713.63,22.7,10.2
0400000US27,27,Minnesota,0500000US27045,27045,Minnesota - Fillmore County,Fillmore County,21122,8908,862.15,0.90,861.25,24.5,10.3
0400000US27,27,Minnesota,0500000US27047,27047,Minnesota - Freeborn County,Freeborn County,32584,13996,722.63,14.99,707.64,46.0,19.8
0400000US27,27,Minnesota,0500000US27049,27049,Minnesota - Goodhue County,Goodhue County,44127,17879,780.44,22.17,758.27,58.2,23.6
0400000US27,27,Minnesota,0500000US27051,27051,Minnesota - Grant County,Grant County,6289,3098,575.18,28.77,546.41,11.5,5.7
0400000US27,27,Minnesota,0500000US27053,27053,Minnesota - Hennepin County,Hennepin County,1116200,468824,606.38,49.77,556.62,2005.3,842.3
0400000US27,27,Minnesota,0500000US27055,27055,Minnesota - Houston County,Houston County,19718,8168,568.91,10.50,558.41,35.3,14.6
0400000US27,27,Minnesota,0500000US27057,27057,Minnesota - Hubbard County,Hubbard County,18376,12229,999.39,76.93,922.46,19.9,13.3
0400000US27,27,Minnesota,0500000US27059,27059,Minnesota - Isanti County,Isanti County,31287,12062,451.87,12.81,439.07,71.3,27.5
0400000US27,27,Minnesota,0500000US27061,27061,Minnesota - Itasca County,Itasca County,43992,24528,2927.78,262.72,2665.06,16.5,9.2
0400000US27,27,Minnesota,0500000US27063,27063,Minnesota - Jackson County,Jackson County,11268,5092,719.46,17.76,701.69,16.1,7.3
0400000US27,27,Minnesota,0500000US27065,27065,Minnesota - Kanabec County,Kanabec County,14996,6846,533.38,8.45,524.93,28.6,13.0
0400000US27,27,Minnesota,0500000US27067,27067,Minnesota - Kandiyohi County,Kandiyohi County,41203,18415,861.97,65.92,796.06,51.8,23.1
0400000US27,27,Minnesota,0500000US27069,27069,Minnesota - Kittson County,Kittson County,5285,2719,1103.51,6.43,1097.08,4.8,2.5
0400000US27,27,Minnesota,0500000US27071,27071,Minnesota - Koochiching County,Koochiching County,14355,7719,3154.32,51.96,3102.36,4.6,2.5
0400000US27,27,Minnesota,0500000US27073,27073,Minnesota - Lac qui Parle County,Lac qui Parle County,8067,3774,778.05,13.19,764.87,10.5,4.9
0400000US27,27,Minnesota,0500000US27075,27075,Minnesota - Lake County,Lake County,11058,6840,2990.82,891.66,2099.16,5.3,3.3
0400000US27,27,Minnesota,0500000US27077,27077,Minnesota - Lake of the Woods County,Lake of the Woods County,4522,3238,1775.05,478.35,1296.70,3.5,2.5
0400000US27,27,Minnesota,0500000US27079,27079,Minnesota - Le Sueur County,Le Sueur County,25426,10858,473.86,25.36,448.50,56.7,24.2
0400000US27,27,Minnesota,0500000US27081,27081,Minnesota - Lincoln County,Lincoln County,6429,3043,548.44,11.41,537.03,12.0,5.7
0400000US27,27,Minnesota,0500000US27083,27083,Minnesota - Lyon County,Lyon County,25425,10298,721.46,7.29,714.17,35.6,14.4
0400000US27,27,Minnesota,0500000US27085,27085,Minnesota - McLeod County,McLeod County,34898,14087,505.67,13.76,491.91,70.9,28.6
0400000US27,27,Minnesota,0500000US27087,27087,Minnesota - Mahnomen County,Mahnomen County,5190,2700,582.99,26.85,556.14,9.3,4.9
0400000US27,27,Minnesota,0500000US27089,27089,Minnesota - Marshall County,Marshall County,10155,4791,1812.79,40.55,1772.24,5.7,2.7
0400000US27,27,Minnesota,0500000US27091,27091,Minnesota - Martin County,Martin County,21802,9800,729.56,20.21,709.34,30.7,13.8
0400000US27,27,Minnesota,0500000US27093,27093,Minnesota - Meeker County,Meeker County,22644,9821,645.08,36.54,608.54,37.2,16.1
0400000US27,27,Minnesota,0500000US27095,27095,Minnesota - Mille Lacs County,Mille Lacs County,22330,10467,681.77,107.30,574.47,38.9,18.2
0400000US27,27,Minnesota,0500000US27097,27097,Minnesota - Morrison County,Morrison County,31712,13870,1153.32,28.82,1124.50,28.2,12.3
0400000US27,27,Minnesota,0500000US27099,27099,Minnesota - Mower County,Mower County,38603,16251,711.71,0.21,711.50,54.3,22.8
0400000US27,27,Minnesota,0500000US27101,27101,Minnesota - Murray County,Murray County,9165,4357,719.52,15.09,704.43,13.0,6.2
0400000US27,27,Minnesota,0500000US27103,27103,Minnesota - Nicollet County,Nicollet County,29771,11240,466.95,14.65,452.29,65.8,24.9
0400000US27,27,Minnesota,0500000US27105,27105,Minnesota - Nobles County,Nobles County,20832,8465,722.33,6.94,715.39,29.1,11.8
0400000US27,27,Minnesota,0500000US27107,27107,Minnesota - Norman County,Norman County,7442,3455,876.82,0.55,876.27,8.5,3.9
0400000US27,27,Minnesota,0500000US27109,27109,Minnesota - Olmsted County,Olmsted County,124277,49422,654.50,1.49,653.01,190.3,75.7
0400000US27,27,Minnesota,0500000US27111,27111,Minnesota - Otter Tail County,Otter Tail County,57159,33862,2224.91,245.20,1979.71,28.9,17.1
0400000US27,27,Minnesota,0500000US27113,27113,Minnesota - Pennington County,Pennington County,13584,6033,618.34,1.80,616.54,22.0,9.8
0400000US27,27,Minnesota,0500000US27115,27115,Minnesota - Pine County,Pine County,26530,15353,1434.57,23.52,1411.04,18.8,10.9
0400000US27,27,Minnesota,0500000US27117,27117,Minnesota - Pipestone County,Pipestone County,9895,4434,466.15,0.26,465.89,21.2,9.5
0400000US27,27,Minnesota,0500000US27119,27119,Minnesota - Polk County,Polk County,31369,14008,1997.81,27.44,1970.37,15.9,7.1
0400000US27,27,Minnesota,0500000US27121,27121,Minnesota - Pope County,Pope County,11236,5827,717.29,47.15,670.14,16.8,8.7
0400000US27,27,Minnesota,0500000US27123,27123,Minnesota - Ramsey County,Ramsey County,511035,206448,170.13,14.36,155.78,3280.6,1325.3
0400000US27,27,Minnesota,0500000US27125,27125,Minnesota - Red Lake County,Red Lake County,4299,1883,432.51,0.08,432.43,9.9,4.4
0400000US27,27,Minnesota,0500000US27127,27127,Minnesota - Redwood County,Redwood County,16815,7230,881.24,1.51,879.73,19.1,8.2
0400000US27,27,Minnesota,0500000US27129,27129,Minnesota - Renville County,Renville County,17154,7413,987.22,4.30,982.92,17.5,7.5
0400000US27,27,Minnesota,0500000US27131,27131,Minnesota - Rice County,Rice County,56665,20061,516.13,18.56,497.57,113.9,40.3
0400000US27,27,Minnesota,0500000US27133,27133,Minnesota - Rock County,Rock County,9721,4137,482.84,0.23,482.61,20.1,8.6
0400000US27,27,Minnesota,0500000US27135,27135,Minnesota - Roseau County,Roseau County,16338,7101,1678.33,15.82,1662.51,9.8,4.3
0400000US27,27,Minnesota,0500000US27137,27137,Minnesota - St. Louis County,St. Louis County,200528,95800,6859.91,634.75,6225.16,32.2,15.4
0400000US27,27,Minnesota,0500000US27139,27139,Minnesota - Scott County,Scott County,89498,31609,368.56,11.88,356.68,250.9,88.6
0400000US27,27,Minnesota,0500000US27141,27141,Minnesota - Sherburne County,Sherburne County,64417,22827,451.00,14.70,436.30,147.6,52.3
0400000US27,27,Minnesota,0500000US27143,27143,Minnesota - Sibley County,Sibley County,15356,6024,600.41,11.76,588.65,26.1,10.2
0400000US27,27,Minnesota,0500000US27145,27145,Minnesota - Stearns County,Stearns County,133166,50291,1389.93,45.41,1344.52,99.0,37.4
0400000US27,27,Minnesota,0500000US27147,27147,Minnesota - Steele County,Steele County,33680,13306,432.16,2.62,429.55,78.4,31.0
0400000US27,27,Minnesota,0500000US27149,27149,Minnesota - Stevens County,Stevens County,10053,4074,575.24,13.17,562.06,17.9,7.2
0400000US27,27,Minnesota,0500000US27151,27151,Minnesota - Swift County,Swift County,11956,4821,752.35,8.82,743.53,16.1,6.5
0400000US27,27,Minnesota,0500000US27153,27153,Minnesota - Todd County,Todd County,24426,11900,979.34,37.32,942.02,25.9,12.6
0400000US27,27,Minnesota,0500000US27155,27155,Minnesota - Traverse County,Traverse County,4134,2199,585.96,11.87,574.09,7.2,3.8
0400000US27,27,Minnesota,0500000US27157,27157,Minnesota - Wabasha County,Wabasha County,21610,9066,549.83,24.82,525.01,41.2,17.3
0400000US27,27,Minnesota,0500000US27159,27159,Minnesota - Wadena County,Wadena County,13713,6334,543.00,7.98,535.02,25.6,11.8
0400000US27,27,Minnesota,0500000US27161,27161,Minnesota - Waseca County,Waseca County,19526,7427,432.81,9.56,423.25,46.1,17.5
0400000US27,27,Minnesota,0500000US27163,27163,Minnesota - Washington County,Washington County,201130,73635,423.16,31.46,391.70,513.5,188.0
0400000US27,27,Minnesota,0500000US27165,27165,Minnesota - Watonwan County,Watonwan County,11876,5036,439.92,5.40,434.51,27.3,11.6
0400000US27,27,Minnesota,0500000US27167,27167,Minnesota - Wilkin County,Wilkin County,7138,3105,751.63,0.20,751.43,9.5,4.1
0400000US27,27,Minnesota,0500000US27169,27169,Minnesota - Winona County,Winona County,49985,19551,641.59,15.29,626.30,79.8,31.2
0400000US27,27,Minnesota,0500000US27171,27171,Minnesota - Wright County,Wright County,89986,34355,714.39,53.63,660.75,136.2,52.0
0400000US27,27,Minnesota,0500000US27173,27173,Minnesota - Yellow Medicine County,Yellow Medicine County,11080,4873,763.39,5.43,757.96,14.6,6.4
