year,population,number_of_reps,state_Name
1990,6628637,12,North Carolina
1980,5880095,11,North Carolina
1970,5084411,11,North Carolina
1960,4556155,11,North Carolina
1950,4061929,12,North Carolina
1940,3571623,12,North Carolina
1930,3170276,11,North Carolina
1920,2559123,10,North Carolina
1910,2206287,10,North Carolina
1900,1893810,10,North Carolina
1890,1617949,9,North Carolina
1880,1399750,9,North Carolina
1870,1071361,8,North Carolina
1860,992622,7,North Carolina
1850,869039,8,North Carolina
1840,753419,9,North Carolina
1830,737987,13,North Carolina
1820,638829,13,North Carolina
1810,555500,13,North Carolina
1800,478103,12,North Carolina
1790,393751,10,North Carolina
1789,,5,North Carolina
,,,North Carolina
