year,population,number_of_reps,state_Name
1980,3894025,7,Alabama 
1970,3444354,7,Alabama 
1960,3266740,8,Alabama 
1950,3061743,9,Alabama 
1940,2832961,9,Alabama 
1930,2646248,9,Alabama 
1920,2348174,10,Alabama 
1910,2138093,10,Alabama 
1900,1828697,9,Alabama 
1890,1513401,9,Alabama 
1880,1262505,8,Alabama 
1870,996992,8,Alabama 
1860,964201,6,Alabama 
1850,771623,7,Alabama 
1840,590756,7,Alabama 
1830,309527,5,Alabama 
1820,127901,3,Alabama 
1810,9046,1,Alabama 
1990,550043,1,Alaska 
1980,401851,1,Alaska 
1970,302853,1,Alaska 
1960,226167,1,Alaska 
1950,128643,1,Alaska 
1990,3665228,6,Arizona 
1980,2716546,5,Arizona 
1970,1775399,4,Arizona 
1960,1302161,3,Arizona 
1950,749587,2,Arizona 
1940,499261,2,Arizona 
1930,435573,1,Arizona 
1920,334162,1,Arizona 
1910,204354,1,Arizona 
1990,2350725,4,Arkansas 
1980,2286357,4,Arkansas 
1970,1923322,4,Arkansas 
1960,1786272,4,Arkansas 
1950,1909511,6,Arkansas 
1940,1949387,7,Arkansas 
1930,1854482,7,Arkansas 
1920,1752204,7,Arkansas 
1910,1574449,7,Arkansas 
1900,1311564,7,Arkansas 
1890,1128211,6,Arkansas 
1880,802525,5,Arkansas 
1870,484471,4,Arkansas 
1860,435450,3,Arkansas 
1850,209897,2,Arkansas 
1840,97574,1,Arkansas 
1830,30388,1,Arkansas 
1990,29760021,52,California 
1980,23667764,45,California 
1970,19971069,43,California 
1960,15717204,38,California 
1950,10586223,30,California 
1940,6907387,23,California 
1930,5677251,20,California 
1920,3426861,11,California 
1910,2377549,11,California 
1900,1485053,8,California 
1890,1213398,7,California 
1880,864694,6,California 
1870,560247,4,California 
1860,379994,3,California 
1850,92597,2,California 
1990,3294394,6,Colorado 
1980,2889735,6,Colorado 
1970,2209596,5,Colorado 
1960,1753947,4,Colorado 
1950,1325089,4,Colorado 
1940,1123296,4,Colorado 
1930,1035791,4,Colorado 
1920,939629,4,Colorado 
1910,799024,4,Colorado 
1900,539700,3,Colorado 
1890,413249,2,Colorado 
1880,194327,1,Colorado 
1870,39864,1,Colorado 
1990,3287116,6,Connecticut 
1980,3107564,6,Connecticut 
1970,3032217,6,Connecticut 
1960,2535234,6,Connecticut 
1950,2007280,6,Connecticut 
1940,1709242,6,Connecticut 
1930,1606903,6,Connecticut 
1920,1380631,5,Connecticut 
1910,1114756,5,Connecticut 
1900,908420,5,Connecticut 
1890,746258,4,Connecticut 
1880,622700,4,Connecticut 
1870,537454,4,Connecticut 
1860,460147,4,Connecticut 
1850,370792,4,Connecticut 
1840,309978,4,Connecticut 
1830,297675,6,Connecticut 
1820,275248,6,Connecticut 
1810,261942,7,Connecticut 
1800,251002,7,Connecticut 
1790,237946,7,Connecticut 
2000,783600,1,Delaware 
1990,666168,1,Delaware 
1980,594338,1,Delaware 
1970,548104,1,Delaware 
1960,446292,1,Delaware 
1950,318085,1,Delaware 
1940,266505,1,Delaware 
1930,230380,1,Delaware 
1920,223003,1,Delaware 
1910,202322,1,Delaware 
1900,184735,1,Delaware 
1890,168493,1,Delaware 
1880,146608,1,Delaware 
1870,125015,1,Delaware 
1860,112216,1,Delaware 
1850,91532,1,Delaware 
1840,78085,1,Delaware 
1830,76748,1,Delaware 
1820,72749,1,Delaware 
1810,72674,2,Delaware 
1800,64273,1,Delaware 
1790,59096,1,Delaware 
1990,12937926,23,Florida 
1980,9746961,19,Florida 
1970,6791418,15,Florida 
1960,4951560,12,Florida 
1950,2771305,8,Florida 
1940,1897414,6,Florida 
1930,1468211,5,Florida 
1920,968470,4,Florida 
1910,752619,4,Florida 
1900,528542,3,Florida 
1890,391422,2,Florida 
1880,269493,2,Florida 
1870,187748,2,Florida 
1860,140424,1,Florida 
1850,87445,1,Florida 
1840,54477,1,Florida 
1990,6478216,11,Georgia 
1980,5462982,10,Georgia 
1970,4587930,10,Georgia 
1960,3943116,10,Georgia 
1950,3444578,10,Georgia 
1940,3123723,10,Georgia 
1930,2908506,10,Georgia 
1920,2895832,12,Georgia 
1910,2609121,12,Georgia 
1900,2216331,11,Georgia 
1890,1837353,11,Georgia 
1880,1542180,10,Georgia 
1870,1184109,9,Georgia 
1860,1057286,7,Georgia 
1850,906185,8,Georgia 
1840,691392,8,Georgia 
1830,516823,9,Georgia 
1820,340989,7,Georgia 
1810,252433,6,Georgia 
1800,162686,4,Georgia 
1790,82548,2,Georgia 
1990,1108229,2,Hawaii 
1980,964691,2,Hawaii 
1970,769913,2,Hawaii 
1960,632772,2,Hawaii 
1950,499794,1,Hawaii 
1990,1006749,2,Idaho 
1980,944127,2,Idaho 
1970,713015,2,Idaho 
1960,667191,2,Idaho 
1950,588637,2,Idaho 
1940,524873,2,Idaho 
1930,445032,2,Idaho 
1920,431866,2,Idaho 
1910,325594,2,Idaho 
1900,161772,1,Idaho 
1890,88548,1,Idaho 
1880,32610,1,Idaho 
1990,11430602,20,Illinois 
1980,11427409,22,Illinois 
1970,11110285,24,Illinois 
1960,10081158,24,Illinois 
1950,8712176,25,Illinois 
1940,7897241,26,Illinois 
1930,7630654,27,Illinois 
1920,6485280,27,Illinois 
1910,5638591,27,Illinois 
1900,4821550,25,Illinois 
1890,3826352,22,Illinois 
1880,3077871,20,Illinois 
1870,2539891,19,Illinois 
1860,1711951,14,Illinois 
1850,851470,9,Illinois 
1840,476183,7,Illinois 
1830,157445,3,Illinois 
1820,55211,1,Illinois 
1810,12282,1,Illinois 
1990,5544159,10,Indiana 
1980,5490210,10,Indiana 
1970,5195392,11,Indiana 
1960,4662498,11,Indiana 
1950,3934224,11,Indiana 
1940,3427796,11,Indiana 
1930,3238503,12,Indiana 
1920,2930390,13,Indiana 
1910,2700876,13,Indiana 
1900,2516462,13,Indiana 
1890,2192404,13,Indiana 
1880,1978301,13,Indiana 
1870,1680637,13,Indiana 
1860,1350428,11,Indiana 
1850,988416,11,Indiana 
1840,685866,10,Indiana 
1830,343031,7,Indiana 
1820,147718,3,Indiana 
1810,24520,1,Indiana 
1990,2776755,5,Iowa 
1980,2913808,6,Iowa 
1970,2825368,6,Iowa 
1960,2757537,7,Iowa 
1950,2621073,8,Iowa 
1940,2538268,8,Iowa 
1930,2470939,9,Iowa 
1920,2404021,11,Iowa 
1910,2224771,11,Iowa 
1900,2231853,11,Iowa 
1890,1912297,11,Iowa 
1880,1624615,11,Iowa 
1870,1194020,9,Iowa 
1860,674913,6,Iowa 
1850,192914,2,Iowa 
1840,43112,2,Iowa 
1990,2477574,4,Kansas 
1980,2364236,5,Kansas 
1970,2249071,5,Kansas 
1960,2178611,5,Kansas 
1950,1905299,6,Kansas 
1940,1801028,6,Kansas 
1930,1880999,7,Kansas 
1920,1769257,8,Kansas 
1910,1690949,8,Kansas 
1900,1470495,8,Kansas 
1890,1428108,8,Kansas 
1880,996096,7,Kansas 
1870,364399,3,Kansas 
1860,107206,1,Kansas 
1990,3685296,6,Kentucky 
1980,3660324,7,Kentucky 
1970,3220711,7,Kentucky 
1960,3038156,7,Kentucky 
1950,2944806,8,Kentucky 
1940,2845627,9,Kentucky 
1930,2614589,9,Kentucky 
1920,2416630,11,Kentucky 
1910,2289905,11,Kentucky 
1900,2147174,11,Kentucky 
1890,1858635,11,Kentucky 
1880,1648690,11,Kentucky 
1870,1321011,10,Kentucky 
1860,1155684,9,Kentucky 
1850,982405,10,Kentucky 
1840,779828,10,Kentucky 
1830,687917,13,Kentucky 
1820,564317,12,Kentucky 
1810,406511,10,Kentucky 
1800,220955,6,Kentucky 
1790,73677,2,Kentucky 
1990,4219973,7,Louisiana 
1980,4206116,8,Louisiana 
1970,3644637,8,Louisiana 
1960,3257022,8,Louisiana 
1950,2683516,8,Louisiana 
1940,2363880,8,Louisiana 
1930,2101593,8,Louisiana 
1920,1798509,8,Louisiana 
1910,1656388,8,Louisiana 
1900,1381625,7,Louisiana 
1890,1118588,6,Louisiana 
1880,939946,6,Louisiana 
1870,726915,6,Louisiana 
1860,708002,5,Louisiana 
1850,517762,4,Louisiana 
1840,352411,4,Louisiana 
1830,215739,3,Louisiana 
1820,153407,3,Louisiana 
1810,76556,1,Louisiana 
1980,1125043,2,Maine 
1970,993722,2,Maine 
1960,969265,2,Maine 
1950,913774,3,Maine 
1940,847226,3,Maine 
1930,797423,3,Maine 
1920,768014,4,Maine 
1910,742371,4,Maine 
1900,694466,4,Maine 
1890,661086,4,Maine 
1880,648936,4,Maine 
1870,626915,5,Maine 
1860,628279,5,Maine 
1850,583169,6,Maine 
1840,501793,7,Maine 
1830,399455,8,Maine 
1820,298335,7,Maine 
2000,5296486,8,Maryland 
1990,4781468,8,Maryland 
1980,4216933,8,Maryland 
1970,3923897,8,Maryland 
1960,3100689,8,Maryland 
1950,2343001,7,Maryland 
1940,1821244,6,Maryland 
1930,1631526,6,Maryland 
1920,1499661,6,Maryland 
1910,1295346,6,Maryland 
1900,1188044,6,Maryland 
1890,1042390,6,Maryland 
1880,934943,6,Maryland 
1870,780894,6,Maryland 
1860,687049,5,Maryland 
1850,583034,6,Maryland 
1840,470019,6,Maryland 
1830,447040,8,Maryland 
1820,407350,9,Maryland 
1810,380546,9,Maryland 
1800,341548,9,Maryland 
1790,319728,8,Maryland 
1990,6016425,10,Massachusetts 
1980,5737093,11,Massachusetts 
1970,5689170,12,Massachusetts 
1960,5148578,12,Massachusetts 
1950,4690514,14,Massachusetts 
1940,4316721,14,Massachusetts 
1930,4249614,15,Massachusetts 
1920,3852356,16,Massachusetts 
1910,3366416,16,Massachusetts 
1900,2805346,14,Massachusetts 
1890,2238947,13,Massachusetts 
1880,1783085,12,Massachusetts 
1870,1457351,11,Massachusetts 
1860,1231066,10,Massachusetts 
1850,994514,11,Massachusetts 
1840,737699,10,Massachusetts 
1830,610408,12,Massachusetts 
1820,523287,13,Massachusetts 
1810,472040,20,Massachusetts 
1800,422845,17,Massachusetts 
1790,378787,14,Massachusetts 
1990,9295297,16,Michigan 
1980,9262044,18,Michigan 
1970,8881826,19,Michigan 
1960,7823194,19,Michigan 
1950,6371766,18,Michigan 
1940,5256106,17,Michigan 
1930,4842325,17,Michigan 
1920,3668412,13,Michigan 
1910,2810173,13,Michigan 
1900,2420982,12,Michigan 
1890,2093890,12,Michigan 
1880,1636937,11,Michigan 
1870,1184059,9,Michigan 
1860,749113,6,Michigan 
1850,397654,4,Michigan 
1840,212267,3,Michigan 
1830,31639,1,Michigan 
1990,4375099,8,Minnesota 
1980,4075970,8,Minnesota 
1970,3806103,8,Minnesota 
1960,3413864,8,Minnesota 
1950,2982483,9,Minnesota 
1940,2792300,9,Minnesota 
1930,2563953,9,Minnesota 
1920,2387125,10,Minnesota 
1910,2075708,10,Minnesota 
1900,1751394,9,Minnesota 
1890,1310283,7,Minnesota 
1880,780773,5,Minnesota 
1870,439706,3,Minnesota 
1860,172023,2,Minnesota 
1850,6077,2,Minnesota 
1990,2573216,5,Mississippi 
1980,2520770,5,Mississippi 
1970,2216994,5,Mississippi 
1960,2178141,5,Mississippi 
1950,2178914,6,Mississippi 
1940,2183796,7,Mississippi 
1930,2009821,7,Mississippi 
1920,1790618,8,Mississippi 
1910,1797114,8,Mississippi 
1900,1551270,8,Mississippi 
1890,1289600,7,Mississippi 
1880,1131597,7,Mississippi 
1870,827922,6,Mississippi 
1860,791305,5,Mississippi 
1850,606526,5,Mississippi 
1840,375651,4,Mississippi 
1830,136621,2,Mississippi 
1820,75448,1,Mississippi 
1810,31306,1,Mississippi 
1990,5117073,9,Missouri 
1980,4916766,9,Missouri 
