year,population,number_of_reps,state_Name
1990,3287116,6,Connecticut
1980,3107564,6,Connecticut
1970,3032217,6,Connecticut
1960,2535234,6,Connecticut
1950,2007280,6,Connecticut
1940,1709242,6,Connecticut
1930,1606903,6,Connecticut
1920,1380631,5,Connecticut
1910,1114756,5,Connecticut
1900,908420,5,Connecticut
1890,746258,4,Connecticut
1880,622700,4,Connecticut
1870,537454,4,Connecticut
1860,460147,4,Connecticut
1850,370792,4,Connecticut
1840,309978,4,Connecticut
1830,297675,6,Connecticut
1820,275248,6,Connecticut
1810,261942,7,Connecticut
1800,251002,7,Connecticut
1790,237946,7,Connecticut
