year,population,number_of_reps,state_Name
2000,783600,1,Delaware
1990,666168,1,Delaware
1980,594338,1,Delaware
1970,548104,1,Delaware
1960,446292,1,Delaware
1950,318085,1,Delaware
1940,266505,1,Delaware
1930,230380,1,Delaware
1920,223003,1,Delaware
1910,202322,1,Delaware
1900,184735,1,Delaware
1890,168493,1,Delaware
1880,146608,1,Delaware
1870,125015,1,Delaware
1860,112216,1,Delaware
1850,91532,1,Delaware
1840,78085,1,Delaware
1830,76748,1,Delaware
1820,72749,1,Delaware
1810,72674,2,Delaware
1800,64273,1,Delaware
1790,59096,1,Delaware
