year,population,number_of_reps,state_Name
1990,6478216,11,Georgia
1980,5462982,10,Georgia
1970,4587930,10,Georgia
1960,3943116,10,Georgia
1950,3444578,10,Georgia
1940,3123723,10,Georgia
1930,2908506,10,Georgia
1920,2895832,12,Georgia
1910,2609121,12,Georgia
1900,2216331,11,Georgia
1890,1837353,11,Georgia
1880,1542180,10,Georgia
1870,1184109,9,Georgia
1860,1057286,7,Georgia
1850,906185,8,Georgia
1840,691392,8,Georgia
1830,516823,9,Georgia
1820,340989,7,Georgia
1810,252433,6,Georgia
1800,162686,4,Georgia
1790,82548,2,Georgia
