year,population,number_of_reps,state_Name
1990,11430602,20,Illinois
1980,11427409,22,Illinois
1970,11110285,24,Illinois
1960,10081158,24,Illinois
1950,8712176,25,Illinois
1940,7897241,26,Illinois
1930,7630654,27,Illinois
1920,6485280,27,Illinois
1910,5638591,27,Illinois
1900,4821550,25,Illinois
1890,3826352,22,Illinois
1880,3077871,20,Illinois
1870,2539891,19,Illinois
1860,1711951,14,Illinois
1850,851470,9,Illinois
1840,476183,7,Illinois
1830,157445,3,Illinois
1820,55211,1,Illinois
1810,12282,1,Illinois
