year,population,number_of_reps,state_Name
1990,3685296,6,Kentucky
1980,3660324,7,Kentucky
1970,3220711,7,Kentucky
1960,3038156,7,Kentucky
1950,2944806,8,Kentucky
1940,2845627,9,Kentucky
1930,2614589,9,Kentucky
1920,2416630,11,Kentucky
1910,2289905,11,Kentucky
1900,2147174,11,Kentucky
1890,1858635,11,Kentucky
1880,1648690,11,Kentucky
1870,1321011,10,Kentucky
1860,1155684,9,Kentucky
1850,982405,10,Kentucky
1840,779828,10,Kentucky
1830,687917,13,Kentucky
1820,564317,12,Kentucky
1810,406511,10,Kentucky
1800,220955,6,Kentucky
1790,73677,2,Kentucky
