year,population,number_of_reps,state_Name
1990,4219973,7,Louisiana
1980,4206116,8,Louisiana
1970,3644637,8,Louisiana
1960,3257022,8,Louisiana
1950,2683516,8,Louisiana
1940,2363880,8,Louisiana
1930,2101593,8,Louisiana
1920,1798509,8,Louisiana
1910,1656388,8,Louisiana
1900,1381625,7,Louisiana
1890,1118588,6,Louisiana
1880,939946,6,Louisiana
1870,726915,6,Louisiana
1860,708002,5,Louisiana
1850,517762,4,Louisiana
1840,352411,4,Louisiana
1830,215739,3,Louisiana
1820,153407,3,Louisiana
1810,76556,1,Louisiana
