year,population,number_of_reps,state_Name
2000,5296486,8,Maryland
1990,4781468,8,Maryland
1980,4216933,8,Maryland
1970,3923897,8,Maryland
1960,3100689,8,Maryland
1950,2343001,7,Maryland
1940,1821244,6,Maryland
1930,1631526,6,Maryland
1920,1499661,6,Maryland
1910,1295346,6,Maryland
1900,1188044,6,Maryland
1890,1042390,6,Maryland
1880,934943,6,Maryland
1870,780894,6,Maryland
1860,687049,5,Maryland
1850,583034,6,Maryland
1840,470019,6,Maryland
1830,447040,8,Maryland
1820,407350,9,Maryland
1810,380546,9,Maryland
1800,341548,9,Maryland
1790,319728,8,Maryland
,,,
