year,population,number_of_reps,state_Name
1990,6016425,10,Massachusetts
1980,5737093,11,Massachusetts
1970,5689170,12,Massachusetts
1960,5148578,12,Massachusetts
1950,4690514,14,Massachusetts
1940,4316721,14,Massachusetts
1930,4249614,15,Massachusetts
1920,3852356,16,Massachusetts
1910,3366416,16,Massachusetts
1900,2805346,14,Massachusetts
1890,2238947,13,Massachusetts
1880,1783085,12,Massachusetts
1870,1457351,11,Massachusetts
1860,1231066,10,Massachusetts
1850,994514,11,Massachusetts
1840,737699,10,Massachusetts
1830,610408,12,Massachusetts
1820,523287,13,Massachusetts
1810,472040,20,Massachusetts
1800,422845,17,Massachusetts
1790,378787,14,Massachusetts
