year,population,number_of_reps,state_Name
1990,2573216,5,Mississippi
1980,2520770,5,Mississippi
1970,2216994,5,Mississippi
1960,2178141,5,Mississippi
1950,2178914,6,Mississippi
1940,2183796,7,Mississippi
1930,2009821,7,Mississippi
1920,1790618,8,Mississippi
1910,1797114,8,Mississippi
1900,1551270,8,Mississippi
1890,1289600,7,Mississippi
1880,1131597,7,Mississippi
1870,827922,6,Mississippi
1860,791305,5,Mississippi
1850,606526,5,Mississippi
1840,375651,4,Mississippi
1830,136621,2,Mississippi
1820,75448,1,Mississippi
1810,31306,1,Mississippi
