year,population,number_of_reps,state_Name
1990,1109252,2,New Hampshire
1980,920610,2,New Hampshire
1970,737681,2,New Hampshire
1960,606921,2,New Hampshire
1950,533242,2,New Hampshire
1940,491524,2,New Hampshire
1930,465293,2,New Hampshire
1920,443083,2,New Hampshire
1910,430572,2,New Hampshire
1900,411588,2,New Hampshire
1890,376530,2,New Hampshire
1880,346991,2,New Hampshire
1870,318300,3,New Hampshire
1860,326073,3,New Hampshire
1850,317976,3,New Hampshire
1840,284574,4,New Hampshire
1830,269328,5,New Hampshire
1820,244161,6,New Hampshire
1810,214460,6,New Hampshire
1800,183858,5,New Hampshire
1790,141885,4,New Hampshire
