year,population,number_of_reps,state_Name
1990,7730188,13,New Jersey
1980,7365011,14,New Jersey
1970,7171112,15,New Jersey
1960,6066782,15,New Jersey
1950,4835329,14,New Jersey
1940,4160165,14,New Jersey
1930,4041334,14,New Jersey
1920,3155900,12,New Jersey
1910,2537167,12,New Jersey
1900,1883669,10,New Jersey
1890,1444933,8,New Jersey
1880,1131116,7,New Jersey
1870,906096,7,New Jersey
1860,672035,5,New Jersey
1850,489555,5,New Jersey
1840,373306,5,New Jersey
1830,320823,6,New Jersey
1820,277575,6,New Jersey
1810,245562,6,New Jersey
1800,211149,6,New Jersey
1790,184139,5,New Jersey
