year,population,number_of_reps,state_Name
1990,17990455,31,New York
1980,17558165,34,New York
1970,18241391,39,New York
1960,16782304,41,New York
1950,14830192,43,New York
1940,13479142,45,New York
1930,12588066,45,New York
1920,10385227,43,New York
1910,9113614,43,New York
1900,7268894,37,New York
1890,6003174,34,New York
1880,5082871,34,New York
1870,4382759,33,New York
1860,3880735,31,New York
1850,3097394,33,New York
1840,2428921,34,New York
1830,1918608,40,New York
1820,1372812,34,New York
1810,959049,27,New York
1800,589051,17,New York
1790,340120,10,New York
