year,population,number_of_reps,state_Name
1990,11881643,21,Pennsylvania
1980,11864720,23,Pennsylvania
1970,11800766,25,Pennsylvania
1960,11319366,27,Pennsylvania
1950,10498012,30,Pennsylvania
1940,9900180,33,Pennsylvania
1930,9631350,34,Pennsylvania
1920,8720017,36,Pennsylvania
1910,7665111,36,Pennsylvania
1900,6302115,32,Pennsylvania
1890,5258113,30,Pennsylvania
1880,4282891,28,Pennsylvania
1870,3521951,27,Pennsylvania
1860,2906215,24,Pennsylvania
1850,2311786,25,Pennsylvania
1840,1724033,24,Pennsylvania
1830,1348233,28,Pennsylvania
1820,1049458,26,Pennsylvania
1810,810091,23,Pennsylvania
1800,602365,18,Pennsylvania
1790,434373,13,Pennsylvania
