year,population,number_of_reps,state_Name
1990,3486703,6,South Carolina
1980,3120729,6,South Carolina
1970,2590713,6,South Carolina
1960,2382594,6,South Carolina
1950,2117027,6,South Carolina
1940,1899804,6,South Carolina
1930,1738765,6,South Carolina
1920,1683724,7,South Carolina
1910,1515400,7,South Carolina
1900,1340316,7,South Carolina
1890,1151149,7,South Carolina
1880,995577,7,South Carolina
1870,705606,5,South Carolina
1860,703708,4,South Carolina
1850,668507,6,South Carolina
1840,594398,7,South Carolina
1830,581185,9,South Carolina
1820,502741,9,South Carolina
1810,415115,9,South Carolina
1800,345591,8,South Carolina
1790,249073,6,South Carolina
