year,population,number_of_reps,state_Name
1990,4877185,9,Tennessee
1980,4591023,9,Tennessee
1970,3926018,8,Tennessee
1960,3567089,9,Tennessee
1950,3291718,9,Tennessee
1940,2915841,10,Tennessee
1930,2616556,9,Tennessee
1920,2337885,10,Tennessee
1910,2184789,10,Tennessee
1900,2020616,10,Tennessee
1890,1767518,10,Tennessee
1880,1542359,10,Tennessee
1870,1258520,10,Tennessee
1860,1109801,8,Tennessee
1850,1002717,10,Tennessee
1840,829210,11,Tennessee
1830,681904,13,Tennessee
1820,422823,9,Tennessee
1810,261727,6,Tennessee
1800,105602,3,Tennessee
1790,35691,1,Tennessee
