year,population,number_of_reps,state_Name
1990,6187358,11,Virginia
1980,5346797,10,Virginia
1970,4651448,10,Virginia
1960,3966949,10,Virginia
1950,3318680,10,Virginia
1940,2677773,9,Virginia
1930,2421851,9,Virginia
1920,2309187,10,Virginia
1910,2061612,10,Virginia
1900,1854184,10,Virginia
1890,1655980,10,Virginia
1880,1512565,10,Virginia
1870,1225163,9,Virginia
1860,1219630,11,Virginia
1850,1119348,13,Virginia
1840,1025227,15,Virginia
1830,1044054,21,Virginia
1820,938261,22,Virginia
1810,877683,23,Virginia
1800,807557,22,Virginia
1790,691737,19,Virginia
